latency,type,urevent,urtype,ID,ProblemItem,confidence,confidence_rt,difficulty,fluency,participant,response,response_time,confidence_level,epoch,Subject,ERN_FzCz,Pe_PzCz
11917,response,112,200,112,18 * 6 = 108,23.1833333333333,1.71383794245776,hard,high,cnf008,error,1.7835847461829,low,34,cnf008,-8.400661,-1.154813
12275,response,115,200,105,16 * 9 = 146,61.4083333333333,3.64693593082484,hard,low,cnf008,error,1.93358099390753,med,35,cnf008,-5.487433,30.27067
12633,response,118,200,124,6 * 8 = 46,94.5916666666667,2.76453361765016,easy,low,cnf008,error,1.03338509763125,high,36,cnf008,-10.19766,4.410645
12991,response,121,201,122,6 * 6 = 34,95.4166666666667,1.83076211577281,easy,low,cnf008,correct,1.00044387741946,high,37,cnf008,-1.878622,-13.49523
13349,response,124,201,115,18 * 9 = 164,75.6166666666667,2.19700876658317,hard,low,cnf008,correct,2.28339423821308,high,38,cnf008,-14.8588,-6.444503
13707,response,127,200,118,19 * 7 = 135,71.0333333333333,2.94636780640576,hard,low,cnf008,error,2.0002267495729,high,39,cnf008,22.68311,17.63927
14065,response,130,201,127,7 * 6 = 44,68.8333333333333,3.11330516124144,easy,low,cnf008,correct,1.60026979015674,high,40,cnf008,-7.980029,-8.960037
14423,response,133,201,101,16 * 4 = 64,92.9416666666667,2.23044004791882,hard,high,cnf008,correct,1.98362271953374,high,41,cnf008,-1.898764,5.940853
14781,response,136,201,99,9 * 8 = 72,97.4333333333333,1.88104021258187,easy,high,cnf008,correct,1.20017524168361,high,42,cnf008,-16.07009,-49.0433
15139,response,139,201,121,6 * 4 = 26,94.5,2.03119457548019,easy,low,cnf008,correct,1.05004589515738,high,43,cnf008,-1.251617,13.95577
15497,response,145,200,109,17 * 8 = 136,69.2,2.33058988873381,hard,high,cnf008,error,1.86669277329929,high,44,cnf008,-0.8851125,3.538363
15855,response,148,201,98,9 * 7 = 65,93.4916666666667,2.18047689879313,easy,low,cnf008,correct,1.93357522087172,high,45,cnf008,-1.656521,-0.8520185
16213,response,151,200,107,17 * 6 = 102,38.3083333333333,2.9630956343608,hard,high,cnf008,error,2.06777822040021,med,46,cnf008,-3.166613,-6.916205
16571,response,154,201,97,9 * 6 = 54,96.7,2.06444015959278,easy,high,cnf008,correct,1.41696349368431,high,47,cnf008,-0.9811505,6.103488
16929,response,159,201,117,19 * 6 = 114,58.75,2.96348980010953,hard,high,cnf008,correct,2.23367611959111,med,48,cnf008,-15.82335,-15.46221
17287,response,162,201,100,9 * 9 = 83,97.1583333333333,1.930826003314,easy,low,cnf008,correct,0.883567491546273,high,49,cnf008,-2.93521,-16.93325
17645,response,165,201,123,6 * 7 = 42,95.4166666666667,2.23094871104695,easy,high,cnf008,correct,1.16691362159327,high,50,cnf008,-5.221568,-11.21958
18003,response,168,201,128,7 * 7 = 49,97.8,1.93134653288871,easy,high,cnf008,correct,0.666845308034681,high,51,cnf008,-7.38881,0.05438394
18361,response,171,201,102,16 * 6 = 96,96.3333333333333,2.11371472163592,hard,high,cnf008,correct,1.96693530236371,high,52,cnf008,-5.865643,12.65025
18719,response,174,201,104,16 * 8 = 128,91.3833333333333,2.89723211643286,hard,high,cnf008,correct,1.80021315102931,high,53,cnf008,-3.667763,-1.306662
19077,response,177,201,125,6 * 9 = 54,96.975,1.86411161336582,easy,high,cnf008,correct,1.31690858630463,high,54,cnf008,4.59114,3.014784
19435,response,180,201,108,17 * 7 = 117,85.975,2.66455440036952,hard,low,cnf008,correct,1.60006003896706,high,55,cnf008,-14.95453,-21.57042
